"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"COL1A1",3.70718130446927,13.532261797486,46.3242592933425,7.90146077004122e-154,1.41325527332957e-149,341.185293295263
"MYZAP",-4.23395723854748,11.5314677354749,-45.1375564577374,2.30925972481271e-150,2.0651709719e-146,333.249774703764
"EMP1",-3.65078351117318,14.605494976257,-44.3036229288218,6.87719837908126e-148,4.10018567360825e-144,327.583687003899
"COL10A1",5.2603517273743,11.0907321022346,44.136135501437,2.17853292199735e-147,9.74130996071117e-144,326.436656861878
"PPP1R3C",-4.14874177653631,12.6430376871508,-43.097892589505,2.96289433153942e-144,1.05988656027828e-140,319.257781735756
"SH3BGRL2",-4.0800798650838,11.3031831442737,-40.6179543757162,1.46799614721731e-136,4.37609651485481e-133,301.621004292909
"PLAU",3.12943862979516,12.3065927959032,39.6755126399955,1.4825235618105e-133,3.78805948950609e-130,294.732500713569
"MMP1",5.5444259047486,11.3993165892458,39.3683434586198,1.44515629888824e-132,3.23100819523938e-129,292.464703246413
"MAL",-4.6835746452514,14.6097505181564,-39.2643652367505,3.13154619457997e-132,6.22342613736193e-129,291.694503335372
"MMP11",3.86715667243948,12.0825366637803,37.7736951401,2.35445339719061e-127,4.21117534621512e-124,280.510009519505
"GPX3",-2.60876379748604,13.8669376452514,-37.6643749464726,5.42051500231539e-127,8.81375739376483e-124,279.679197124495
"SPP1",4.99494062960894,12.341843774581,37.5868014327445,9.80398523276136e-127,1.46128399894308e-123,279.088769224493
"HPGD",-3.36489713324022,9.53481164734637,-36.8413879743815,3.02407314873997e-124,4.16065941064332e-121,273.37771116592
"MGLL",-2.94682445111732,13.5394094643855,-36.5602449844466,2.67341035554609e-123,3.41547268709267e-120,271.205953592209
"FSCN1",2.37030654748603,14.0308735921788,36.3557192885632,1.3129503687521e-122,1.5655620197e-119,269.619905287838
"ADAMTS12",4.14012381452514,10.2059913921788,36.1288827286804,7.71684512531537e-122,8.62646824446192e-119,267.854777684583
"SASH1",-2.7098260132216,11.2719310129423,-35.9627263239799,2.83539619375385e-121,2.98317037185184e-118,266.557777318316
"MFAP2",3.62223184916201,11.3076986955307,35.7074142558328,2.10829041033157e-120,2.09493790439947e-117,264.558139810879
"UBL3",-2.36830370391062,12.3962221005587,-35.6334696046562,3.77518858380156e-120,3.5538433163092e-117,263.977478008422
"THSD4",-3.38636393854748,9.84522806089385,-35.5621411485898,6.62634139277512e-120,5.68802582128772e-117,263.416713579934
"LGI1",-4.17169909292365,6.59953962541899,-35.5611509569434,6.67832619071017e-120,5.68802582128772e-117,263.408924498256
"LAMC2",3.31792486173184,12.7384375370112,35.3106610903355,4.84062522333362e-119,3.93542830657024e-116,261.434575139973
"VSIG2",-3.91610567318436,11.5898968226257,-35.2543515922264,7.56389090019445e-119,5.8820762017773e-116,260.989665722011
"GPD1L",-2.57818074301676,12.2216251731844,-35.1159984753938,2.26854930869572e-118,1.69063637230549e-115,259.894831257948
"SIX1",3.88039749162011,10.2512006759777,34.8980044307719,1.28655533303805e-117,9.2045314746874e-115,258.16490147925
"CTHRC1",4.34927469497207,11.6815042530726,34.6378203843819,1.02881844559102e-116,7.07747950686194e-114,256.092354184026
"ACOX3",-1.79306598882682,12.3191114357542,-34.594498089141,1.45557661734237e-116,9.64238643621691e-114,255.74643539646
"NUCB2",-1.71005949385475,11.5903656777235,-34.3012313166757,1.53404471952309e-115,9.79925851906782e-113,253.398553733761
"PLK1",1.82228018156425,12.3511300083799,34.2690129786351,1.98832724671204e-115,1.22631797016178e-112,253.139954609692
"KRT4",-4.16203473184358,15.8003090837989,-33.6736131656248,2.45714018285254e-113,1.46494697701669e-110,248.337433515837
"ABLIM1",-2.37412825884544,13.393899689013,-33.3131085573992,4.63921329980861e-112,2.67667642194764e-109,245.407824398937
"INHBA",2.75784459217877,12.3199681703911,33.1646928778478,1.56251111470746e-111,8.733460561768e-109,244.196962390034
"CLCA4",-4.45861536173184,13.9178964615922,-33.0608119992519,3.66156549603515e-111,1.98456849885105e-108,243.347783915003
"SERPINH1",2.10254512569832,13.4281457011173,33.0420973070655,4.26931955986089e-111,2.24591322493152e-108,243.194654792782
"C1QTNF6",2.90893660307263,10.8044785825419,32.9885981232745,6.62390660534244e-111,3.38500552980443e-108,242.756664362095
"TPX2",2.40186934636871,12.0640300670391,32.7534047893141,4.58739217110944e-110,2.27916934367954e-107,240.826874339278
"FAM107A",-2.97914626201117,10.3029551175978,-32.7098953262228,6.56712720516743e-110,3.17458478896283e-107,240.469106884859
"IL2",-3.75182430782123,6.46574724832402,-32.6616906143052,9.77506070532659e-110,4.60096673093346e-107,240.072451946908
"AGFG2",-2.43735385111732,10.4645198367318,-32.6058268281758,1.55048905438397e-109,7.11078134018246e-107,239.612406235396
"SHROOM3",-2.22383489860335,9.49736573603352,-32.4342078475483,6.41247257239937e-109,2.86733711074838e-106,238.19663222051
"POSTN",3.46718155614525,11.6059102054469,32.1335690482711,7.77979334497298e-108,3.39388740898017e-105,235.707531003449
"ABLIM3",-2.60812331564246,11.5341012360335,-32.074574405679,1.27130366631753e-107,5.41393747041795e-105,235.217751563389
"COL5A2",3.04278587541899,12.3164778360335,31.9874202603154,2.62833999088964e-107,1.09326718783842e-104,234.493384587905
"GYS2",-5.50246030670391,7.52018534385475,-31.6450867641994,4.59910129852144e-106,1.86953467784896e-103,231.638857204619
"ENSG00000290316",-2.8417042150838,11.0316759315642,-31.6044559906069,6.46582677300825e-106,2.56995061471168e-103,231.299078522116
"ATP1A2",-3.97592233966481,8.86224060446927,-31.5914606119941,7.21047382057139e-106,2.80362032075522e-103,231.1903595178
"RANBP9",-1.81917391340782,13.4393227453445,-31.5771602263158,8.12957892094751e-106,3.09373720383121e-103,231.070698259178
"CRISP2",-4.21748325586592,8.18135275558659,-31.4824387056877,1.80082622592362e-105,6.71032872434788e-103,230.277446899395
"SOX11",2.11847596554935,9.5131763632216,31.4711253020889,1.98042743519861e-105,7.22896430733924e-103,230.182626526058
"TRNP1",-2.84659132681564,12.8446715963687,-31.4252398287217,2.91262544414547e-105,1.04190437387972e-102,229.797884009326
"TOP2A",2.2007479301676,12.7976971885475,31.2451467256096,1.3270917600834e-104,4.65418886683367e-102,228.285270386035
"SPINK7",-4.34828210614526,13.7972936256983,-31.1316841233462,3.45738069279638e-104,1.18920598214146e-101,227.330196331574
"KIF14",2.55326792625698,10.4738415005587,31.0584541695209,6.4196190930557e-104,2.16643975657348e-101,226.712922725141
"ZFP64",1.13100587240223,10.1599486526257,30.9440046000441,1.69096083770207e-103,5.6008380635443e-101,225.746850561283
"IQCF1",-3.08134741396648,11.1066748740223,-30.8577990670881,3.51094142414446e-103,1.14175815113178e-100,225.018102438776
"ZNF536",-2.62119407681564,6.12411584594972,-30.8526755282361,3.66685764474554e-103,1.17116813989141e-100,224.974760706265
"SPRR3",-3.83301738547486,15.3559140363128,-30.7565353802417,8.29182604562973e-103,2.60188773073918e-100,224.160869268558
"BGN",2.26892877513967,13.3949445523743,30.6620388011086,1.85112147222299e-102,5.70847562968627e-100,223.359764347493
"DLG2",-1.79978714366853,6.43191245060521,-30.6120454124916,2.8323981856753e-102,8.58648710999802e-100,222.935488339561
"EPB41L4A",-2.13161011899441,11.2457322100559,-30.5664273070337,4.17662208362933e-102,1.2450510431299e-99,222.54807126856
"FMO2",-3.60037851955307,12.7726766815642,-30.5483504684046,4.87185669908901e-102,1.42849227737551e-99,222.394479701218
"KRT78",-2.12749702234637,15.6914959916201,-30.5197188235471,6.21790242400833e-102,1.79376456057763e-99,222.151124732617
"ALDH9A1",-1.70910030167597,14.5760940111732,-30.2426347710104,6.62603216661486e-101,1.88116208463609e-98,219.790764518818
"COL3A1",2.91369771997207,12.4829975590084,30.1298330321063,1.74091614632148e-100,4.8653165926728e-98,218.827117944797
"P3H1",1.79194314581006,11.2680257273743,29.9993205617832,5.33361509579602e-100,1.46764676312935e-97,217.710200202767
"MYBL2",1.93217548044693,11.9281222625698,29.9762223595189,6.50387903106467e-100,1.76255121741853e-97,217.512307235796
"TRIP13",2.08932779972067,10.9951171518156,29.7969724339849,3.03879212120607e-99,8.1122143104316e-97,215.974345730036
"PAIP2B",-1.9699886424581,9.77557727793296,-29.7626026155747,4.08577026905178e-99,1.07467775047441e-96,215.678999472288
"GALNT12",-2.48045982849162,11.3981278175978,-29.7319945840603,5.31897007214761e-99,1.378769546528e-96,215.415856205504
"PFN2",2.31202522346369,12.3243938882682,29.7285404456239,5.47971709557007e-99,1.40014599959095e-96,215.386153039616
"ARSF",-4.0010829726257,7.70893262821229,-29.7219646107734,5.79931336713814e-99,1.46093688569905e-96,215.329601407925
"DNMT1",1.19531198114525,13.1004343802374,29.7017121304814,6.90576430504692e-99,1.71550694944541e-96,215.155398259602
"CST1",4.28453056592179,11.3550068382682,29.6919911551797,7.50964809848803e-99,1.83996665602133e-96,215.071764636015
"AHNAK",-1.73077026163873,13.8863112341713,-29.5047472333962,3.78339951107082e-98,9.144578872299e-96,213.458555972386
"ECRG4",-4.83855649106145,10.4930052293296,-29.3616464221887,1.30568758584809e-97,3.11380375473053e-95,212.222760016805
"CST2",4.60255634022347,11.0595043527933,29.308715879172,2.06583204154176e-97,4.85446487633552e-95,211.765024367363
"STK39",-1.66283780167598,12.6706955377095,-29.3073818448927,2.08986802794272e-97,4.85446487633552e-95,211.753483402473
"IGF2BP2",2.59778962011173,11.2186260418994,29.1833559157157,6.13196641751467e-97,1.40610706850856e-94,210.679563009456
"MCM4",1.47827143156425,13.2659298582402,29.1702544533105,6.87115002916358e-97,1.55566315723569e-94,210.566009875841
"ECM1",-3.53366953351955,14.8082866913408,-29.1522405774328,8.03540163580863e-97,1.79651492072591e-94,210.409845635183
"KIF4A",1.90663704301676,9.84546147290503,29.1192653170779,1.07025958877191e-96,2.3632917289845e-94,210.123877035365
"LEXM",-3.27359966089385,10.7828061410615,-29.0941121450517,1.33192808614006e-96,2.90522753032941e-94,209.905654200446
"PDK4",-3.16355939944135,12.0422532192737,-29.06668370991,1.69084170404512e-96,3.64366201428325e-94,209.667603922751
"APOBEC1",-3.93253328212291,9.78116679078212,-28.9925689228727,3.2232925678602e-96,6.86331081770804e-94,209.023906924994
"SORBS2",-2.2334040178771,9.69385426350093,-28.9745181159285,3.77212341513035e-96,7.93743522388489e-94,208.867032115717
"CCDC50",-1.43121890363128,13.3854642409218,-28.9586787039957,4.33032444695307e-96,9.00606779746543e-94,208.729343365696
"CDC25B",2.01676183240224,11.0300469273743,28.9502137042413,4.66183000752049e-96,9.58407948442661e-94,208.655746376696
"SCEL",-4.32473712569832,13.2143878226257,-28.8399141790204,1.21991834597451e-95,2.47948403819319e-93,207.695978366486
"C4orf3",-1.73847612988827,13.9034635146648,-28.8326702235346,1.29954254038199e-95,2.61164245812049e-93,207.632893734891
"ASPA",-3.23325635083799,8.75470703351955,-28.8300218310797,1.32993518077007e-95,2.64302451591706e-93,207.60982838815
"SALL4",2.22331070391062,8.76693450111732,28.7979420420917,1.75983955384049e-95,3.45895497362539e-93,207.33037210515
"TGFBI",2.37951653491621,13.5415647353352,28.7517782492604,2.63399411926337e-95,5.12082813229833e-93,206.928007693184
"LOXL2",2.67381237430167,11.1381504385475,28.7494510901356,2.68810854141156e-95,5.16983971738571e-93,206.90771731844
"HADHB",-1.24810027932961,14.4631866480447,-28.7446247006637,2.80391434953113e-95,5.33519277188445e-93,206.865634204896
"CRISP3",-5.67583139664805,10.1409268681564,-28.6689294700335,5.43519533882718e-95,1.02330425084487e-92,206.205251186226
