"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACKR3",1.40176227374301,12.9130439134078,13.3993118253362,1.67770956694574e-33,1.3677079906286e-32,64.9680181656723
"ACVR1",1.08337830586593,11.6626180523743,16.8809571637092,1.60961936708267e-47,2.41726717041482e-46,97.1334334639572
"AR",-1.12187304655493,7.97501482309125,-18.0400703149251,2.69767572480223e-52,4.97429154781575e-51,108.101173540527
"ARRB2",-1.42330736033519,13.3840885293296,-14.5169880451438,6.40054846479357e-38,6.24891975116254e-37,75.100623074689
"BCL2A1",1.55348993910615,10.4389478689944,9.54420714792236,2.1441124670531e-19,8.91229272268458e-19,32.6934047922424
"BID",1.19638916871509,10.8058757162011,15.3274733946109,3.51508946913436e-41,3.95663248866817e-40,82.581193126097
"BOK",-2.52263197486034,13.5847789343575,-26.8953245128915,3.58372603069129e-88,4.05686859398382e-86,190.537796034808
"BRCA1",1.29179727569832,10.9866835925978,16.639896042168,1.57102390660243e-46,2.27006275337826e-45,94.8615214907202
"BRCA2",1.03698725418994,9.02522502709497,12.8845607020746,1.66688662151723e-31,1.23760623131827e-30,60.3905823100283
"CD14",1.11438567877095,13.493757400838,11.4878098722461,3.07807714473874e-26,1.76885858326016e-25,48.3305928436032
"CD24",-2.45459154748603,14.9395618435754,-24.7559834257601,9.59376649351691e-80,6.94712985842281e-78,171.171978331205
"CEBPB",1.02161132402235,13.5382997067039,14.0441583563576,4.87314176344119e-36,4.42666397058959e-35,70.7848559876853
"CHAC1",-2.03816629189945,10.7889564476257,-19.1797814153124,5.26444550801681e-57,1.24221467488639e-55,118.91983903179
"CLU",-1.87025608659218,14.4800042807263,-16.8133949165228,3.04933690344612e-47,4.52993686503633e-46,96.4962857996599
"COL2A1",1.8815557896648,5.04798086885475,9.80871724999843,2.75279216380695e-20,1.19447939451361e-19,34.7275982524028
"CSF2",3.00757442402235,5.92708631536313,14.6603203135312,1.70868246951631e-38,1.70830042760026e-37,76.4164013245987
"CTSC",1.64187712420857,12.5690220244879,20.3089777556846,1.14604889779757e-61,3.46839773028889e-60,129.631305612099
"CUL3",-1.25423627318436,10.5575304645251,-20.182318761465,3.81475801750045e-61,1.11488173040871e-59,128.431311477203
"CX3CR1",-1.59719988212291,8.72768581368715,-10.571831314944,6.22277497380143e-23,3.05938848766939e-22,40.7706122091086
"CXCL12",-1.6972943,11.3046683289106,-17.7548896788119,4.05582057915574e-51,7.13298002741196e-50,105.397629324968
"DAPL1",-1.38731373854749,12.2483633368715,-12.0528199425366,2.44105799505747e-28,1.55210676500526e-27,53.139174720233
"DDIAS",1.46812003854748,10.1442421790503,14.1163207460483,2.5219675694169e-36,2.31679054682027e-35,71.4409308768969
"EPHA2",-1.42586733798883,12.8561381773743,-15.0477309038233,4.73945132780603e-40,5.08517255243783e-39,79.9886037412437
"ERBB3",-1.26748919292365,11.2254501679702,-18.2538238065158,3.53307723893565e-53,6.82425696496793e-52,110.128987916639
