	cancer	normal	MeanDecreaseAccuracy	MeanDecreaseGini
ACKR3	0	0	0	0
ACVR1	0	0.00507462686567164	0.00255639097744361	0.377272727272727
AR	0	0	0	0
ARRB2	0.00636363636363636	-0.000298507462686567	0.00300751879699248	0.114090909090909
BCL2A1	0	0	0	0
BID	0	0.000256410256410256	0.000142857142857143	0.106666666666667
BOK	0.0103870967741935	-0.000256410256410256	0.00453142857142857	0.0475595886267394
BRCA1	0.00566644293633629	0.00292173913043478	0.00433186469412597	0.648072857441157
BRCA2	0.000303030303030303	0.00404035308953342	0.00214456106870229	0.488132352365523
CD14	0	0	0	0
CD24	0.027348984967757	0.0114825475599669	0.0195604295907391	9.05740108723913
CEBPB	0.00193548387096774	-0.000273972602739726	0.000740740740740741	0.234156997564818
CHAC1	0.00389114347099546	0.000303030303030303	0.0020705410374993	0.195833166499833
CLU	0.0127159266534649	0.00138535995160315	0.00720540955565193	0.762344657946308
COL2A1	0.000597014925373134	0	0.000303030303030303	0.0342857142857143
CSF2	0	0	0	0
CTSC	0.000579710144927536	0.00032258064516129	0.000458015267175573	0.186
CUL3	-0.000294117647058824	0.00548387096774194	0.00246153846153846	0.117942857142857
CX3CR1	0	0	0	0
CXCL12	0.000277777777777778	0.00107142857142857	0.000625	0.0790960451977401
DAPL1	0	0	0	0
DDIAS	0.0003125	-0.000307692307692308	0	0.0693333333333333
EPHA2	0	0	0	0
ERBB3	0	0	0	0
ERO1A	0	0	0	0
EYA2	0	0	0	0
FADD	0.00166949632144878	0.0082243138317082	0.00504183519326876	0.721151251437551
FAIM2	0	0	0	0.032
FGF10	0.0110187400324042	0.00398779424585876	0.00722664754154956	1.38554043009431
G0S2	0	0	0	0.074074074074074
GSDME	0	0	0	0.0397452229299364
GZMB	0	0	0	0
HRK	0.000714285714285714	0	0.00032520325203252	0.039291349675965
IFI16	0.00169014084507042	0.000307692307692308	0.00102941176470588	0.230360181508792
IFI27	0	0	0	0
IFI6	0	0.00967546880979717	0.00486291486291486	0.313302854233175
IL12A	0	0	0	0
IL1A	0	0	0	0
IL1B	0	0	0	0
IL2	0.037765609293685	0.0027472254597999	0.0195423480622918	12.3395346881686
IL33	0.00562292238762827	0.00287212546308846	0.00439172390645041	1.57288828024198
INHBA	0.0571228703868952	0.0436743868145061	0.0496737306744183	17.41118910444
ITGA6	0.00149859943977591	0.00958166911919277	0.00604025056644009	0.825525878776283
ITGAV	0	0.000810810810810811	0.000431654676258993	0.036
ITPR1	0.000250361097737121	0.000589382448537378	0.000455684666210982	0.305553664302601
LGALS3	0	0	0	0
LRRK2	0.0583007593432033	0.0581142743493379	0.0585261758619046	37.911135265174
MAGEA3	-0.000298507462686567	0.00307692307692308	0.00136363636363636	0.0397546012269936
MAPK7	0.0032258064516129	0.00421611637035327	0.00362134845309996	0.156457593626081
MELK	0	0.00411764705882353	0.00222222222222222	0.15632183908046
MKNK2	0.00773987206823028	0.00423015873015873	0.00604474182211408	5.78241369816617
MLLT11	0	0	0	0
MSH6	0.0021031828583316	0.0111454953493403	0.00682149770567347	0.880390802697884
MSX1	0	0	0	0
MUC1	0.00786096256684492	-0.000580197603531638	0.00327992111426106	0.32921707933867
NME5	0.00393308274052216	0.00124565756823821	0.0024859155338862	0.453498073650928
PAK5	0	0	0	0
PLAUR	0	0	0	0
PRKDC	0.00879785781589524	0.00629254495767004	0.0074748651264132	8.48781114728421
PRKN	0.00485742214774473	0.000895522388059701	0.00288063909774436	0.578621045547067
PTGIS	0	0	0	0
