TF/miRNA	mRNA
miR-224-5p	HSP90AA1
miR-139-5p	HSP90AA1
miR-9-5p	HSP90AA1
miR-7-5p	HSP90AA1
miR-185-5p	HSP90AA1
miR-182-5p	HSP90AA1
miR-490-3p	EIF2AK2
miR-224-5p	EIF2AK2
miR-382-5p	EIF2AK2
miR-409-3p	EIF2AK2
miR-455-5p	EIF2AK2
miR-299-3p	EIF2AK2
miR-139-5p	EIF2AK2
miR-150-5p	EIF2AK2
miR-143-3p	EIF2AK2
miR-214-5p	EIF2AK2
miR-7-5p	EIF2AK2
miR-185-5p	EIF2AK2
miR-409-5p	EIF2AK2
miR-542-3p	EIF2AK2
miR-155-5p	EIF2AK2
miR-145-5p	EIF2AK2
miR-488-3p	EIF2AK2
miR-493-5p	EIF2AK2
miR-182-5p	EIF2AK2
miR-375	EIF2AK2
miR-382-5p	INHBA
miR-409-3p	INHBA
miR-150-5p	INHBA
miR-9-5p	INHBA
miR-143-3p	INHBA
miR-214-5p	INHBA
miR-493-5p	INHBA
miR-375	INHBA
miR-490-3p	HSPB8
miR-299-3p	HSPB8
miR-382-5p	LRRK2
miR-9-5p	LRRK2
miR-185-5p	LRRK2
miR-542-3p	LRRK2
miR-1224-5p	LRRK2
ARID3A	HSP90AA1
ARNT	HSPB8
ASCL1	LRRK2
ATF3	INHBA
ATF3	LRRK2
BACH2	LRRK2
BCL3	HSP90AA1
BCOR	LRRK2
BCOR	HSP90AA1
BCOR	EIF2AK2
BRCA1	HSP90AA1
BRD2	INHBA
BRD2	HSP90AA1
BRD2	EIF2AK2
BRD2	HSPB8
BRD4	LRRK2
BRD4	EIF2AK2
BRD4	HSP90AA1
BRD4	HSPB8
CBFB	HSP90AA1
CBX8	EIF2AK2
CDK7	HSP90AA1
CDK8	HSP90AA1
CDK9	LRRK2
CDK9	EIF2AK2
CDK9	HSP90AA1
CEBPA	INHBA
CEBPA	LRRK2
CEBPA	HSP90AA1
CEBPB	HSP90AA1
CEBPB	HSPB8
CEBPB	INHBA
CREB1	HSP90AA1
CREB1	EIF2AK2
CREBBP	HSP90AA1
CTCF	INHBA
