Index	Query genes	# Input	# Found	TF	# Datasets
1	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	SCRT1	1
2	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	KDM2B	10
3	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	SP2	8
4	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	PCGF1	2
5	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	MAZ	8
6	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	EGR2	2
7	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	JUN	30
8	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	HEXIM1	1
9	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	SPI1	254
10	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	NFKB1	3
11	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	BCOR	5
12	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	EZH1	4
13	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	ELF3	2
14	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	RYBP	2
15	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	EGR3	1
16	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	ZBTB48	1
17	INHBA, EIF2AK2, HSPB8, LRRK2, HSP90AA1	5	5	ATF3	11
18	INHBA, EIF2AK2, HSPB8, HSP90AA1	5	4	ZNF382	1
19	HSP90AA1, EIF2AK2, HSPB8, LRRK2	5	4	LARP7	1
20	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	FLI1	18
21	HSP90AA1, EIF2AK2, HSPB8, LRRK2	5	4	BRD4	85
22	INHBA, EIF2AK2, HSPB8, HSP90AA1	5	4	BRD2	4
23	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	GATA1	25
24	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	FOXA2	30
25	INHBA, EIF2AK2, HSPB8, HSP90AA1	5	4	GLIS1	2
26	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	NFE2	9
27	INHBA, EIF2AK2, HSPB8, HSP90AA1	5	4	PPARG	8
28	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	HDAC2	12
29	HSP90AA1, EIF2AK2, HSPB8, LRRK2	5	4	ZNF341	1
30	HSP90AA1, EIF2AK2, HSPB8, LRRK2	5	4	ZNF528	1
31	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	CDK9	9
32	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	FOXO1	2
33	INHBA, EIF2AK2, LRRK2, HSP90AA1	5	4	GRHL3	2
34	INHBA, EIF2AK2, HSPB8, HSP90AA1	5	4	ETS1	19
35	INHBA, HSPB8, LRRK2, HSP90AA1	5	4	PGR	21
36	HSP90AA1, EIF2AK2, HSPB8, LRRK2	5	4	SP4	2
