Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1296956	0	0.0769800646288716	0.054157369429675	0.22604316891285	0	0	0.159336542082041	0.0187426279513318	0.0416589228655419	0	0	0.0204861564962386	0.0446472576696191	0.0112351217388231	0.118297130417104	0.0852599231659706	0.0322235992037324	0	0.0314431955021173	0	0.079488919936084	0	0	0.562039282062482	0.838272521790078
GSM1296957	0	0	0.0798642619462323	0.272083901583059	0	0.00474549610333153	0.109877358056884	0	0.0776893840489478	0.00423064682745383	0	0.0467714910512324	0.125231137008404	0	0.0606866694257631	0.0765367284300819	0.00289235239900173	0	0.139390573119608	0	0	0	0.002	0.332650896414004	0.946340772177814
GSM1296958	0	0	0.320376014578942	0.106311457230257	0	0.00582792986796785	0.0643440124191527	0.0181437631940146	0.0745132056703377	0	0	0.0296015920808992	0.0411096453893068	0.0385543874033638	0.0921769572727388	0.0364766788304009	0.137332060724337	0	0.030728666395001	0	0.00450362894328031	0	0	0.574999794504477	0.821495018186429
GSM1296959	0	0.00420585182297775	0.183264109920761	0.207274118265243	0	0.0041959890639567	0	0.0191279061867698	0.0709991042292695	0	0	0.0656990957793989	0.081515671076832	0	0.0371173858070823	0.137656902215837	0.0572589850491244	0	0.10193650193627	0	0.0297483786464781	0	0.083	0.137524853133302	1.02704613280678
GSM1296960	0	0.0912526187290515	0.131725449866011	0.236583284117857	0	0	0.0953579203749036	0.0109089959363171	0.0872249249048129	0.000901080443916357	0	0.00661727879514686	0	0.0525300931445007	0.152780732785588	0.0547051967072067	0.0132587238309674	0.0249113934872857	0	0.0211957997921597	0.020046507084275	0	0	0.425158640315249	0.906090011375999
GSM1296961	0	0.0389332975199219	0.129167766622365	0.136217180706767	0	0.0677452139881161	0.0212659594553112	0.00898734018074895	0.0751286592661832	0.00154641118434525	0	0.063924871562315	0.0891674883511467	0	0.0189874934367418	0.14362636651763	0.0583034690646111	0	0.069917293218544	0	0.0770811889252522	0	0.002	0.329075125667042	0.945667666787282
GSM1296962	0	0.0564822834043588	0.382295169567709	0.0624725094409054	0	0.0385796451341889	0	0	0.0554049182561936	0	0	0.00385631797656012	0.0486707419751809	0.212583751294831	0.0208187772747559	0.073864919421934	0.0290320918158283	0	0	0.00165933438570414	0.0142795400518493	0	0	0.449198373723482	0.903854895101975
GSM1296963	0	0	0.108799166586843	0.12593342364531	0	0.0669778133343915	0.0441771273598271	0	0.0453064269248133	0	0	0.0274853299314905	0.126226585390874	0	0.0124811317669923	0.135158477777265	0.0876022607172398	0.000327838512846449	0.147828208659293	0	0.0451743848959363	0.0265218244968773	0.00800000000000001	0.255310088418132	0.972282509910274
GSM1296964	0	0	0.213854255568222	0.148984077909634	0	0.0186019433975525	0.139393149744838	0.00481701093782414	0.103799684892982	0	0	0	0.0614349443425082	0.123855714116602	0.0472183042171835	0.110605917213786	0.00650681544077989	0	0.0209281822180878	0	0	0	0	0.450578199170216	0.892478319240942
GSM1296965	0	0.0055507982391971	0.126087315517214	0.273496439836111	0	0.119509475964091	0.00964935546838366	0.00204806514417892	0.110662796943103	0.0130107386659061	0	0.0461982179458276	0.0603382181500673	0	0.0181292914716581	0.116748409930177	0.00558211431498056	0	0.0639034849105693	0.00637360532908901	0.0227116721694461	0	0.00600000000000001	0.269418688786843	0.982775719035589
